Spk	Consonant	f2	f3
S1	retroflex	1441.277508	2869.284673
S1	retroflex	1196.771082	2455.18832
S1	retroflex	1171.343058	2062.017984
S1	retroflex	1328.246028	2539.038397
S1	retroflex	873.623052	2283.855398
S1	retroflex	1657.414313	3359.304476
S1	retroflex	1870.860324	2611.92996
S1	retroflex	1286.257271	2596.406174
S1	retroflex	821.9162893	1520.435742
S1	retroflex	1329.479896	2621.529584
S1	retroflex	955.9031277	1409.891415
S1	retroflex	1266.668237	2348.737843
S1	retroflex	1020.327345	2169.878407
S1	retroflex	1060.37859	2005.662116
S1	retroflex	1240.4423	2164.8459
S1	retroflex	1239.789557	2300.434556
S1	retroflex	1351.459716	1775.740464
S1	retroflex	987.145923	2011.280036
S1	retroflex	1463.45521	1850.848322
S1	retroflex	1059.918751	2172.751751
S1	retroflex	1205.796707	1742.80331
S1	retroflex	1093.318235	1872.706022
S1	retroflex	1310.684391	1948.551194
S1	retroflex	1335.831908	1893.758821
S1	retroflex	1426.11578	1879.325611
S1	retroflex	1231.910109	1932.340614
S1	retroflex	1072.773142	1788.847374
S1	retroflex	1344.361613	2133.844753
S1	retroflex	1523.76235	2034.169376
S1	retroflex	1211.571904	1438.799312
S1	retroflex	1139.84887	1286.326085
S1	retroflex	1268.916643	2257.380042
S1	retroflex	1232.833831	2388.192805
S1	retroflex	1132.625428	1746.841188
S1	retroflex	1538.712403	2115.761213
S1	retroflex	1166.714506	1780.048878
S1	retroflex	1212.707509	1695.69172
S1	retroflex	1380.427824	1833.473295
S1	retroflex	1127.712352	1674.749561
S1	retroflex	1220.572605	1910.74547
S1	retroflex	945.9605309	1594.326864
S1	retroflex	1119.622632	1944.555381
S1	retroflex	1146.210643	1777.37317
S1	retroflex	1005.001004	1894.624673
S1	retroflex	1085.309888	1712.639416
S1	retroflex	1305.206692	1692.237319
S1	retroflex	1667.699743	2846.747791
S1	retroflex	1336.040485	2233.498197
S1	retroflex	1381.79757	1732.955753
S1	retroflex	1279.793572	1750.747356
S1	retroflex	1095.413051	1834.390199
S1	retroflex	1315.065063	1655.331499
S1	retroflex	1187.925996	1677.395226
S1	retroflex	1366.636792	1800.346188
S1	retroflex	1283.722989	1708.128805
S1	retroflex	1136.442753	1827.758799
S1	retroflex	1334.490672	1708.328952
S1	retroflex	1081.883106	1796.865894
S1	retroflex	1486.252577	1691.911918
S1	retroflex	1319.375459	1808.580541
S2	retroflex	960.8590454	1776.582358
S2	retroflex	1279.147115	1785.316924
S2	retroflex	1231.47379	2096.060041
S2	retroflex	1240.680173	1473.756959
S2	retroflex	1086.525618	1883.950024
S2	retroflex	1174.866518	1548.620499
S2	retroflex	1324.25577	1848.931365
S2	retroflex	1202.202619	1540.087144
S2	retroflex	1419.894922	1733.56086
S2	retroflex	896.61353	2124.737895
S2	retroflex	1337.505253	1916.898928
S2	retroflex	854.4200552	1594.172639
S2	retroflex	1682.613428	2910.826969
S2	retroflex	1141.208709	1410.48668
S2	retroflex	1128.647614	1511.002363
S2	retroflex	1369.473724	1834.873845
S2	retroflex	1324.64888	1716.517491
S2	retroflex	949.0571967	1811.500607
S2	retroflex	1420.779116	2086.931424
S2	retroflex	1101.560066	1757.418393
S2	retroflex	1374.51963	1906.720393
