nat	lev	percV	sd_V	sd_C	VarcoV	VarcoC	nPVI-V	rPVI-C
usa	ne	0.28	0.04	0.06	66.67	51.88	59.91	0.05
usa	ne	0.19	0.02	0.05	45.07	43.11	32.03	0.06
usa	ne	0.68	0.48	0.06	154.59	59.42	71.67	0.08
usa	ne	0.65	0.44	0.11	148.55	80.21	79.96	0.13
usa	ne	0.7	0.48	0.04	151.32	40.98	66.02	0.04
usa	ne	0.17	0.01	0.03	14.29	22.59	28.57	0.04
usa	ne	0.64	0.35	0.04	192.11	44.66	44.74	0.07
usa	ne	0.29	0.03	0.07	39.22	50.02	67.84	0.12
usa	ne	0.55	0.31	0.05	172.54	51.1	57.75	0.07
usa	ne	0.51	0.26	0.04	192.54	39.71	44.31	0.05
usa	ne	0.45	0.08	0.06	81.64	69.56	86.72	0.06
usa	ne	0.37	0.06	0.1	64.21	58.86	55.14	0.09
usa	ne	0.56	0.25	0.05	192.28	51.4	52.88	0.06
usa	ne	0.27	0.05	0.05	79.37	54.26	53.25	0.07
usa	ne	0.19	0.02	0.21	41.38	103.43	45.24	0.15
usa	ne	0.55	0.24	0.04	148.74	31.12	90.76	0.05
usa	ne	0.31	0.04	0.05	52.4	50.65	79.19	0.03
usa	ne	0.45	0.17	0.03	173.13	39.08	48.75	0.04
usa	ne	0.23	0.03	0.13	52.13	105.75	50.57	0.1
usa	ne	0.2	0.04	0.16	68.23	100.68	76.36	0.14
usa	ne	0.27	0.04	0.13	58.38	107.69	51.21	0.1
usa	ne	0.39	0.13	0.07	174.58	77.66	52.48	0.06
usa	ne	0.51	0.19	0.06	152.57	63.01	81.23	0.05
usa	ne	0.29	0.03	0.05	59.06	41.53	63.51	0.04
usa	ne	0.27	0.06	0.06	79.82	54.54	72.29	0.06
usa	ne	0.25	0.04	0.09	63.69	67.15	47.5	0.1
usa	ne	0.53	0.2	0.05	149.51	47.04	54.7	0.05
usa	ne	0.26	0.03	0.07	46.13	65.1	45.91	0.06
usa	ne	0.34	0.06	0.06	71.09	55.69	56.71	0.05
usa	ne	0.65	0.23	0.04	130.89	40.22	86.13	0.06
usa	ne	0.61	0.31	0.05	175.16	48.04	59.73	0.04
usa	ne	0.24	0.03	0.08	53.74	62.9	74.24	0.06
usa	ne	0.6	0.29	0.05	159.39	46.81	78.12	0.04
usa	ne	0.39	0.07	0.02	75.85	14.8	45.96	0.02
usa	ne	0.37	0.05	0.06	74.99	58.87	67.25	0.05
usa	ne	0.27	0.03	0.07	48.8	46.9	37.79	0.07
usa	ne	0.37	0.07	0.05	95.28	55.91	68.46	0.06
usa	ne	0.25	0.03	0.05	56.14	43.48	57.14	0.03
usa	ne	0.27	0.05	0.12	77.05	81.93	68.76	0.12
usa	ne	0.2	0.02	0.13	49.6	102	31.79	0.09
usa	ne	0.35	0.08	0.06	95.48	51.08	70.66	0.05
usa	ne	0.27	0.03	0.1	50.05	88.09	56.6	0.1
usa	ne	0.24	0.04	0.12	65.95	96.45	42.72	0.1
usa	ne	0.28	0.1	0.14	165.66	119.61	40.82	0.09
usa	ne	0.31	0.1	0.16	115.35	136.85	71.89	0.13
usa	ne	0.27	0.04	0.13	71.45	113.46	63.4	0.09
usa	ne	0.39	0.08	0.07	95.32	56.27	73.04	0.09
usa	ne	0.32	0.14	0.22	126.13	138.16	92.16	0.18
usa	ne	0.43	0.22	0.14	186.85	104.91	65.82	0.11
usa	ne	0.31	0.06	0.13	82.24	104.15	74.95	0.1
usa	ne	0.31	0.07	0.1	95.79	85.62	63.11	0.08
usa	ne	0.34	0.08	0.09	123.36	76.7	70.58	0.08
usa	ne	0.4	0.2	0.24	158.46	160.93	97.84	0.15
usa	ne	0.36	0.07	0.11	84.95	102.39	61.71	0.09
usa	ne	0.28	0.08	0.1	88.13	76.29	76.33	0.08
usa	ne	0.21	0.06	0.17	100.8	107.92	47.38	0.14
usa	ne	0.5	0.17	0.05	124.81	48.33	76.98	0.06
usa	ne	0.24	0.04	0.19	62.61	126.39	72.3	0.14
usa	ne	0.48	0.13	0.07	104.59	73.33	82.4	0.06
usa	ne	0.2	0.02	0.11	46.74	80.79	46.03	0.11
usa	ne	0.59	0.36	0.07	209.97	77.89	70.71	0.07
usa	ne	0.3	0.02	0.1	19.64	74.39	43.81	0.06
usa	ne	0.26	0.05	0.09	50	58.32	67.62	0.09
usa	ne	0.26	0.06	0.09	74.38	60.52	106.03	0.07
usa	ne	0.28	0.03	0.08	46.57	61.71	69.63	0.05
usa	ne	0.27	0.03	0.08	48.89	64.09	64.76	0.06
usa	ne	0.48	0.26	0.05	191.25	46.48	63.57	0.07
